cue	response	domain	source_url
sailor of the argo & argonauts & golden fleece & spurned his wife medea	jason	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
sorceress who helped jason get golden fleece & vengeful ex-wife of jason	medea	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
hero who rode pegasus & killed the chimera	bellerophon	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
killed the minotaur	theseus	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
supplied theseus with ball of thread to navigate labyrinth	ariadne	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
king of crete & father of ariadne and phaedra	minos	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
built the cretan labyrinth & crafted waxy wings & father of icarus	daedalus	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
flew too close to sun & son of daedalus	icarus	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
killed father and married mother & answered riddle of sphinx & king of thebes	oedipus	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
golden touch & king of phrygia	midas	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
queen of carthage & commits suicide when aeneas leaves her	dido	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
founders of rome & suckled by a wolf	romulus and remus	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
seduced by bull-zeus	europa	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
seduced by swan-zeus & mother of helen, clytemnestra, and castor and pollux	leda	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
seduced by golden-shower-zeus & mother of perseus	danae	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
beloved of eros/cupid	psyche	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
shepherd & beloved of selene	endymion	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
ex-prince cupbearer to the gods loved by zeus	ganymede	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
sculptor who falls in love with his sculpture (galatea) & g.b. shaw play, basis for "my fair lady"	pygmalion	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
looked back at wife eurydice and lost her forever & master of the lyre	orpheus	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
wife of orpheus	eurydice	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
handsome youth who falls in love with his reflection	narcissus	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
rejected by narcissus until only her voice remained	echo	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
lit lamp in her tower for lover leander	hero	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
swam hellespont nightly for lover hero	leander	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
tragic lovers of ovid & basis for "romeo and juliet"	pyramus and thisbe	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
gemini twin sons of zeus & brothers of helen	castor and pollux	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
transformed into stag for seeing artemis naked and killed by his own hounds	actaeon	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
ferryman of the dead on the river styx	charon	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
doomed in hell to eternally push rock up hill	sisyphus	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
doomed in hell to eternally long for out-of-reach food and water	tantalus	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
challenged athena to weaving contest & turned into a spider	arachne	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
warrior women	amazons	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
queen of the amazons in "a midsummer night's dream"	hippolyta	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
the first woman & opened box releasing world's evils but kept hope inside	pandora	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
oracle-like prophetess	sibyl	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
daughter of menelaus and helen	hermione	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
long-waiting wife of odysseus	penelope	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
son of odysseus	telemachus	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
sorceress who turned odysseus's men into pigs	circe	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
outran her suitors & lost footrace because stopped to pick up golden apples	atalanta	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
sword hanging over his head during a feast	damocles	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
weeping over her children who were killed because of her hubris	niobe	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
king who imitated zeus's thunder and lightning	salmoneus	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
planted dragon's teeth to grow army to defeat thebes	cadmus	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
mighty hunter killed by scorpion	orion	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
survived great flood in an ark & son of prometheus	deucalion	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
murdered husband agamemnon & murdered by son orestes	clytemnestra	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
murdered mother clytemnestra for murdering father agamemnon & brother of electra and iphigenia	orestes	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
convinced brother orestes to murder mother clytemnestra for murdering father agamemnon for murdering sister iphigenia	electra	demigods & humans	https://jboard.tv/viewtopic.php?t=343&start=0
half-man/half-bull in the labyrinth	minotaur	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
half-man/half-lion riddler on the road to thebes	sphinx	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
half-man/half-goat lusty attendants of dionysus	satyr	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
half-man/half-horse & ruined a wedding party	centaur	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
centaur mentor of jason and achilles	chiron	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
centaur killed by hercules for the attempted rape of his wife	nessus	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
half-woman/half-bird tormentors	harpies	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
half-eagle/half-lion & pulled zeus's chariot	griffin	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
part-lion/part-goat/part-serpent & killed by bellerophon	chimera	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
snaky-haired gorgon	medusa	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
three-headed hell dog	cerberus	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
many-headed water serpent & cut one head off, two grow back & killed by hercules	hydra	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
hundred-eyed monster & hera put its eyes in tail of peacock	argus	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
six-headed sea monster avoided by odysseus & opposite charybdis	scylla	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
whirlpool avoided by odysseus & opposite scylla	charybdis	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
father of minotaur & captured by hercules	the cretan bull	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
strangled by hercules	nemean lion	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
winged horse born from medusa's blood & ridden by bellerophon	pegasus	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
bird that dies by fire and is reborn from its ashes	phoenix	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
race of one-eyed giants	cyclopes	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
cyclops blinded by odysseus	polyphemus	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
statue carved by pygmalion with which he falls in love	galatea	half-humans & non-humans	https://jboard.tv/viewtopic.php?t=343&start=0
tree nymphs	dryads	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
water nymphs	naiads	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
sea nymphs	nereids	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
mountain nymphs	oreads	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
detained odysseus for seven years & daughter of atlas	calypso	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
half-woman/half-bird singers luring sailors to their doom	sirens	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
mother of achilles who dipped him in styx while holding his heel	thetis	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
wife of paris	oenone	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
turned into white heifer by lover zeus	io	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
chased by apollo & turned into a tree	daphne	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
turned into a bear & ursa major/minor	callisto	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
turned into lotus tree	lotis	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
the seven sisters & daughters of atlas	the pleiades	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
history	clio	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
dance	terpsichore	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
lyric/love poetry	erato	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
tragedy	melpomene	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
epic poetry & mother of orpheus	calliope	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
music	euterpe	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
choral poetry	polyhymnia	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
comedy	thalia	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
astrology	urania	nymphs	https://jboard.tv/viewtopic.php?t=343&start=0
home of the greek gods & highest greek mountain	mount olympus	places	https://jboard.tv/viewtopic.php?t=343&start=0
main oracle of ancient greece	delphi	places	https://jboard.tv/viewtopic.php?t=343&start=0
island of king minos & knossos & daedalus & the labyrinth & the minotaur	crete	places	https://jboard.tv/viewtopic.php?t=343&start=0
oedipus's kingdom & the sphinx & aeschylus's "seven against thebes"	thebes	places	https://jboard.tv/viewtopic.php?t=343&start=0
site of trojan war & aka ilium & in modern-day turkey	troy	places	https://jboard.tv/viewtopic.php?t=343&start=0
temple of athena on acropolis in athens & built by pericles	parthenon	places	https://jboard.tv/viewtopic.php?t=343&start=0
strait near troy swum by leander and lord byron	hellespont	places	https://jboard.tv/viewtopic.php?t=343&start=0
greek underworld	hades	places	https://jboard.tv/viewtopic.php?t=343&start=0
hades river of hate & charon river	styx	places	https://jboard.tv/viewtopic.php?t=343&start=0
hades river of forgetfulness	lethe	places	https://jboard.tv/viewtopic.php?t=343&start=0
hades river of pain	acheron	places	https://jboard.tv/viewtopic.php?t=343&start=0
hades river of wailing	cocytus	places	https://jboard.tv/viewtopic.php?t=343&start=0
hades river of fire	phlegethon	places	https://jboard.tv/viewtopic.php?t=343&start=0
lowest region of hades	tartarus	places	https://jboard.tv/viewtopic.php?t=343&start=0
delightful resting place of the dead	elysian fields	places	https://jboard.tv/viewtopic.php?t=343&start=0
king of the gods	odin	norse	https://jboard.tv/viewtopic.php?t=343&start=0
queen of the gods	frigg	norse	https://jboard.tv/viewtopic.php?t=343&start=0
god of thunder	thor	norse	https://jboard.tv/viewtopic.php?t=343&start=0
god of mischief & shape-shifting trickster	loki	norse	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of love and beauty	freya	norse	https://jboard.tv/viewtopic.php?t=343&start=0
god of love and beauty & murdered with mistletoe by loki	balder	norse	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of the underworld	hel	norse	https://jboard.tv/viewtopic.php?t=343&start=0
slayer of the dragon fafnir & rescuer of brunhilde & aka siegfried	sigurd	norse	https://jboard.tv/viewtopic.php?t=343&start=0
maidens who transport the souls of dead warriors to valhalla	valkyrie	norse	https://jboard.tv/viewtopic.php?t=343&start=0
valkyrie warrior princess rescued from ring of fire by sigurd	brunhilde	norse	https://jboard.tv/viewtopic.php?t=343&start=0
the three sisters of fate	norns	norse	https://jboard.tv/viewtopic.php?t=343&start=0
gold-guarding dragon killed by sigurd	fafnir	norse	https://jboard.tv/viewtopic.php?t=343&start=0
eight-legged horse of odin	sleipnir	norse	https://jboard.tv/viewtopic.php?t=343&start=0
hound of hell	garm	norse	https://jboard.tv/viewtopic.php?t=343&start=0
giant wolf	fenris	norse	https://jboard.tv/viewtopic.php?t=343&start=0
giant ash & the world tree	yggdrasil	norse	https://jboard.tv/viewtopic.php?t=343&start=0
middle earth & the world of humans	midgard	norse	https://jboard.tv/viewtopic.php?t=343&start=0
home of the gods	asgard	norse	https://jboard.tv/viewtopic.php?t=343&start=0
rainbow bridge linking midgard and asgard	bifrost	norse	https://jboard.tv/viewtopic.php?t=343&start=0
hall of the slain	valhalla	norse	https://jboard.tv/viewtopic.php?t=343&start=0
underworld	hel	norse	https://jboard.tv/viewtopic.php?t=343&start=0
lowest region of hel	niflheim	norse	https://jboard.tv/viewtopic.php?t=343&start=0
final battle of good and evil	ragnarok	norse	https://jboard.tv/viewtopic.php?t=343&start=0
hammer of thor	mjolnir	norse	https://jboard.tv/viewtopic.php?t=343&start=0
fermented honey drink of thor	mead	norse	https://jboard.tv/viewtopic.php?t=343&start=0
alphabetic characters inscribed on sleipnir's teeth	runes	norse	https://jboard.tv/viewtopic.php?t=343&start=0
old norse collections of scandinavian mythology	eddas	norse	https://jboard.tv/viewtopic.php?t=343&start=0
icelandic epics	sagas	norse	https://jboard.tv/viewtopic.php?t=343&start=0
god of the sun	ra	egyptian	https://jboard.tv/viewtopic.php?t=343&start=0
god of the afterlife & husband/brother of isis & father of horus	osiris	egyptian	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of fertility & wife/sister of osiris & mother of horus	isis	egyptian	https://jboard.tv/viewtopic.php?t=343&start=0
falcon-headed god of the sky & son of osiris and isis	horus	egyptian	https://jboard.tv/viewtopic.php?t=343&start=0
donkey-headed evil brother of osiris	set	egyptian	https://jboard.tv/viewtopic.php?t=343&start=0
jackal-headed god of the dead	anubis	egyptian	https://jboard.tv/viewtopic.php?t=343&start=0
cow-headed goddess of love, motherhood, and music	hathor	egyptian	https://jboard.tv/viewtopic.php?t=343&start=0
ibis-headed god of wisdom	thoth	egyptian	https://jboard.tv/viewtopic.php?t=343&start=0
looped cross & "key of the nile"	ankh	egyptian	https://jboard.tv/viewtopic.php?t=343&start=0
creator god & one of three main hindu gods	brahma	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
destroyer god & one of three main hindu gods	shiva	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
preserver god & many avatars & one of three main hindu gods	vishnu	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of destruction & wife of shiva	kali	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
god of war & son of shiva	skanda	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
seventh avatar of vishnu	rama	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
eighth avatar of vishnu	krishna	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
ninth avatar of vishnu & siddhartha gautama & enlightenment under bodhi tree	buddha	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
tenth and last avatar of vishnu	kalki	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
elephant-headed god of wisdom	ganesha	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
monkey god	hanuman	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
oldest hindu scriptures	vedas	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
sanskrit poem meaning "song of the lord" & dialogue between warrior arjuna and krishna	bhagavad gita	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
epic sanskrit poem about hero rama	ramayana	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
100,000-verse national epic sanskrit poem of india	mahabharata	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
sacred river named for goddess	ganges	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
river whose name means "son of brahma"	brahmaputra	hindu	https://jboard.tv/viewtopic.php?t=343&start=0
first aztec god	ometotl	aztec	https://jboard.tv/viewtopic.php?t=343&start=0
sun god & god of war	huitzilopochtli	aztec	https://jboard.tv/viewtopic.php?t=343&start=0
rain god	tlaloc	aztec	https://jboard.tv/viewtopic.php?t=343&start=0
fire god	xiuhtecuhtli	aztec	https://jboard.tv/viewtopic.php?t=343&start=0
god of joy	omacatl	aztec	https://jboard.tv/viewtopic.php?t=343&start=0
god of revelry	ueuecoyotl	aztec	https://jboard.tv/viewtopic.php?t=343&start=0
god of traveling merchants	yacatecutli	aztec	https://jboard.tv/viewtopic.php?t=343&start=0
goddess of lust	tlazolteotl	aztec	https://jboard.tv/viewtopic.php?t=343&start=0
sun goddess	amaterasu	shinto	https://jboard.tv/viewtopic.php?t=343&start=0
god of rice	inari	shinto	https://jboard.tv/viewtopic.php?t=343&start=0
fire/volcano goddess	pele	polynesia	https://jboard.tv/viewtopic.php?t=343&start=0
& you're falling far too far behind	arthur brown	british	https://jboard.tv/viewtopic.php?t=343&start=0
"old ironsides"	the constitution	american	https://jboard.tv/viewtopic.php?t=343&start=0
union ironclad & fought the virginia/merrimack at the battle of hampton roads	the monitor	american	https://jboard.tv/viewtopic.php?t=343&start=0
confederate ironclad & fought the monitor at the battle of hampton roads	the virginia	american	https://jboard.tv/viewtopic.php?t=343&start=0
union ship that became the confederate ironclad the virginia	the merrimack	american	https://jboard.tv/viewtopic.php?t=343&start=0
confederate submarine	the hunley	american	https://jboard.tv/viewtopic.php?t=343&start=0
discovered greenland & father of leif ericson	erik the red	viking/norse	https://jboard.tv/viewtopic.php?t=343&start=0
explored vinland & son of erik the red	leif ericson	viking/norse	https://jboard.tv/viewtopic.php?t=343&start=0
kon-tiki (made from balsa wood) & ra & ra ii & polynesia	thor heyerdahl	viking/norse	https://jboard.tv/viewtopic.php?t=343&start=0
13th century china	marco polo	italy	https://jboard.tv/viewtopic.php?t=343&start=0
early 15th century (born 1394) patron of exploration	prince henry the navigator	portugal	https://jboard.tv/viewtopic.php?t=343&start=0
italian namesake of the americas	amerigo vespucci	portugal	https://jboard.tv/viewtopic.php?t=343&start=0
first to cape of good hope	bartolomeu dias	portugal	https://jboard.tv/viewtopic.php?t=343&start=0
first to india	vasco da gama	portugal	https://jboard.tv/viewtopic.php?t=343&start=0
discovered california	juan cabrillo	portugal	https://jboard.tv/viewtopic.php?t=343&start=0
1492	christopher columbus	spain	https://jboard.tv/viewtopic.php?t=343&start=0
fountain of youth	ponce de leon	spain	https://jboard.tv/viewtopic.php?t=343&start=0
discovered pacific ocean	vasco nuñez de balboa	spain	https://jboard.tv/viewtopic.php?t=343&start=0
conquered aztecs	hernan cortes	spain	https://jboard.tv/viewtopic.php?t=343&start=0
conquered incas	francisco pizarro	spain	https://jboard.tv/viewtopic.php?t=343&start=0
portuguese-born circumnavigation attempter who died in philippines	ferdinand magellan	spain	https://jboard.tv/viewtopic.php?t=343&start=0
discovered mississippi	hernando de soto	spain	https://jboard.tv/viewtopic.php?t=343&start=0
sought the 7 cities of cibola in arizona/new mexico	francisco vazquez de coronado	spain	https://jboard.tv/viewtopic.php?t=343&start=0
first to new york harbor	giovanni da verrazzano	france	https://jboard.tv/viewtopic.php?t=343&start=0
discovered st. lawrence river & named montreal	jacques cartier	france	https://jboard.tv/viewtopic.php?t=343&start=0
"father of new france" & discovered quebec	samuel de champlain	france	https://jboard.tv/viewtopic.php?t=343&start=0
navigated northern mississippi river & michigan	jacques marquette/louis jolliet	france	https://jboard.tv/viewtopic.php?t=343&start=0
claimed mississippi river valley	robert de lasalle	france	https://jboard.tv/viewtopic.php?t=343&start=0
founded detroit	antoine de la mothe, sieur de cadillac	france	https://jboard.tv/viewtopic.php?t=343&start=0
newfoundland & father of sebastian	john cabot	british	https://jboard.tv/viewtopic.php?t=343&start=0
son of john	sebastian cabot	british	https://jboard.tv/viewtopic.php?t=343&start=0
english circumnavigator & the golden hind	francis drake	british	https://jboard.tv/viewtopic.php?t=343&start=0
1770s pacific explorer (australia, hawaii/sandwich, tahiti, vancouver)	james cook	british	https://jboard.tv/viewtopic.php?t=343&start=0
h.m.s. bounty & fletcher christian's mutiny & breadfruit	william bligh	british	https://jboard.tv/viewtopic.php?t=343&start=0
battle of trafalgar (1805) & battle of the nile (1798) & missing right eye and arm	horatio nelson	british	https://jboard.tv/viewtopic.php?t=343&start=0
niger river	mungo park	british	https://jboard.tv/viewtopic.php?t=343&start=0
discovered source of nile river & lake victoria	john speke	british	https://jboard.tv/viewtopic.php?t=343&start=0
sought nile with speke & translated "the thousand and one nights"	richard burton	british	https://jboard.tv/viewtopic.php?t=343&start=0
discovered victoria falls & scottish missionary in africa	david livingstone	british	https://jboard.tv/viewtopic.php?t=343&start=0
"dr. livingstone, i presume?"	henry stanley	british	https://jboard.tv/viewtopic.php?t=343&start=0
"because it's there"	george mallory	british	https://jboard.tv/viewtopic.php?t=343&start=0
hudson river & hudson bay & killed in mutiny while seeking northwest passage	henry hudson	netherlands	https://jboard.tv/viewtopic.php?t=343&start=0
new zealand & tasmania (van diemen's land) & tonga & fiji & tasman sea	abel tasman	netherlands	https://jboard.tv/viewtopic.php?t=343&start=0
bering strait & alaska & dane who sailed for russia	vitus bering	denmark	https://jboard.tv/viewtopic.php?t=343&start=0
first to climb everest	edmund hillary	new zealand	https://jboard.tv/viewtopic.php?t=343&start=0
hillary's sherpa guide	tenzing norgay	nepal	https://jboard.tv/viewtopic.php?t=343&start=0
first to north pole (1909, disputed)	robert peary (american)	arctic/antarctic	https://jboard.tv/viewtopic.php?t=343&start=0
african-american partner of peary	matthew henson (american)	arctic/antarctic	https://jboard.tv/viewtopic.php?t=343&start=0
first to south pole (1911) & reached north pole (1926) & first through northwest passage	roald amundsen (norwegian)	arctic/antarctic	https://jboard.tv/viewtopic.php?t=343&start=0
second to south pole (1912) & died during return	robert falcon scott (english)	arctic/antarctic	https://jboard.tv/viewtopic.php?t=343&start=0
first to fly over both poles & established "little america" antarctic base	richard evelyn byrd (american)	arctic/antarctic	https://jboard.tv/viewtopic.php?t=343&start=0
ship "endurance" was trapped in ice during antarctic exploration	ernest shackleton (english)	arctic/antarctic	https://jboard.tv/viewtopic.php?t=343&start=0
first man in space (1961) & vostok 1	yuri gagarin	space	https://jboard.tv/viewtopic.php?t=343&start=0
first woman in space (1963) & vostok 6	valentina tereshkova	space	https://jboard.tv/viewtopic.php?t=343&start=0
first american in space (1961) & freedom 7	alan shepard	space	https://jboard.tv/viewtopic.php?t=343&start=0
first american to orbit the earth (1962) & friendship 7	john glenn	space	https://jboard.tv/viewtopic.php?t=343&start=0
first american woman in space (1983)	sally ride	space	https://jboard.tv/viewtopic.php?t=343&start=0
first moon landing (1969) & apollo 11	neil armstrong, buzz aldrin, michael collins	space	https://jboard.tv/viewtopic.php?t=343&start=0
first living creature to orbit the earth (1957) & sputnik 2	laika, the russian dog	space	https://jboard.tv/viewtopic.php?t=343&start=0
french girl burned at the stake & maid of orleans	joan of arc	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
lourdes & visionary nun	bernadette soubirous	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
february 14th martyr & patron of love	valentine	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
christmas & children	nicholas	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
animals and nature-loving & stigmata caused by fasting	francis of assisi	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
jesuit founder	ignatius loyola	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
jesuit missionary & introduced christianity to japan & "apostle of the indies"	francis xavier	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
fifth-century "confessions" and "city of god" philosopher & bishop of hippo	augustine	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
mother of augustine	monica	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
thirteenth-century "summa theologica" philosopher & "angelic doctor" & patron of students	thomas aquinas	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
england & dragon slayer & order of the garter	george	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
ireland & march 17th	patrick	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
scotland & crucified on an x-shaped cross	andrew	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
wales	david	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
venice	mark	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
czech & bohemian king	wenceslas	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
hungary & first christian martyr & stoned to death	stephen	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
moscow cathedral	basil	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
norway	olaf	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
canadian river	lawrence	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
france & charity and kindness	martin of tours	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
france & first bishop of paris	denis	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
avila & sixteenth-century spanish nun and mystic	teresa	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
poland	stanislaus	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
first american (though italian-born) saint & patron of emigrants	mother cabrini	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
first american-born saint	elizabeth ann seton	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
first american male saint	john neumann	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
new testament letter writer & named saul before conversion on road to damascus & london cathedral	paul	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
new testament beheading	john the baptist	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
new testament physician	luke	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
first pope & crucified upside-down & vatican city basilica	peter	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
book of revelation author	john the divine	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
mother of the virgin mary & patron of pregnant women	ann	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
alpine hospice & dog breed & patron of skiers	bernard	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
lightning storm phenomenon & patron of sailors & aka erasmus	elmo	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
patron of charitable societies	vincent de paul	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
lost causes & hospitals	jude	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
finder of lost items & patron of the poor & padua	anthony	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
patron of travelers	christopher	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
"poor" & follower of francis of assisi	clare	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
canterbury tales pilgrimage saint & executed by henry ii	thomas a becket	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
"utopia" author & "a man for all seasons" & patron of politicians & executed by henry viii	thomas more	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
"venerable"	bede	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
ontological argument for the existence of god	anselm	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
